epoch,dense_3_accuracy,dense_3_loss,dense_6_accuracy,dense_6_loss,loss,val_dense_3_accuracy,val_dense_3_loss,val_dense_6_accuracy,val_dense_6_loss,val_loss
0,0.8571805357933044,0.512298047542572,0.8219462633132935,0.3953401446342468,0.907638430595398,0.8535040616989136,0.5202003121376038,0.896284818649292,0.24932953715324402,0.7695297598838806
1,0.8588692545890808,0.5045238733291626,0.9128201603889465,0.22366103529930115,0.7281848192214966,0.8535040616989136,0.517453670501709,0.8995919227600098,0.24870441854000092,0.7661581635475159
2,0.8588692545890808,0.5015234351158142,0.9196277856826782,0.20744898915290833,0.7089725136756897,0.8535040616989136,0.5120365023612976,0.9062764048576355,0.22852978110313416,0.7405662536621094
3,0.8588692545890808,0.49215593934059143,0.9189944863319397,0.20646806061267853,0.6986237168312073,0.8535040616989136,0.490127295255661,0.9152828454971313,0.2128342092037201,0.7029614448547363
4,0.8588692545890808,0.4851020872592926,0.9220025539398193,0.20239776372909546,0.6874996423721313,0.8535040616989136,0.49025630950927734,0.9225302338600159,0.2009742259979248,0.6912304759025574
5,0.8588692545890808,0.4803890287876129,0.921474814414978,0.20282374322414398,0.68321293592453,0.8535040616989136,0.48443666100502014,0.9230931401252747,0.19325898587703705,0.677695631980896
6,0.8588692545890808,0.48063600063323975,0.9226006269454956,0.19887752830982208,0.6795139908790588,0.8535040616989136,0.4931867718696594,0.9205600619316101,0.1974940448999405,0.6906809210777283
7,0.8588868379592896,0.4774930477142334,0.9220728874206543,0.19951680302619934,0.6770097613334656,0.8535040616989136,0.48297128081321716,0.9162679314613342,0.20896781980991364,0.6919389367103577
8,0.8588516712188721,0.47416743636131287,0.9254327416419983,0.1944788247346878,0.6686463356018066,0.8535040616989136,0.47901734709739685,0.9237967729568481,0.1912095546722412,0.6702269911766052
9,0.8588516712188721,0.47353094816207886,0.9252216219902039,0.19398149847984314,0.667512059211731,0.8533633351325989,0.4871309697628021,0.9177455902099609,0.20648065209388733,0.6936116814613342
10,0.8589220643043518,0.4739786386489868,0.9250633120536804,0.19326899945735931,0.6672477126121521,0.8534337282180786,0.4813709855079651,0.924781858921051,0.19181327521800995,0.6731842756271362
11,0.8587989211082458,0.4724924564361572,0.924236536026001,0.1947406828403473,0.6672332882881165,0.8535040616989136,0.49162593483924866,0.9189417362213135,0.2016192525625229,0.6932453513145447
12,0.8589220643043518,0.47032999992370605,0.9255030751228333,0.19282266497612,0.6631522178649902,0.8535040616989136,0.4789026081562042,0.9150717854499817,0.20930463075637817,0.6882071495056152
13,0.8589220643043518,0.46817299723625183,0.9252040386199951,0.193606436252594,0.6617794632911682,0.8535040616989136,0.4724370241165161,0.9209822416305542,0.1996566653251648,0.6720936894416809
14,0.858974814414978,0.4664217233657837,0.9272446036338806,0.1895374357700348,0.6559590697288513,0.8535040616989136,0.4763374328613281,0.9236560463905334,0.19355705380439758,0.6698944568634033
15,0.8590275645256042,0.4656250476837158,0.926118791103363,0.1904793679714203,0.6561047434806824,0.853715181350708,0.4781019687652588,0.8732057213783264,0.32540807127952576,0.8035096526145935
16,0.8591507077217102,0.46194836497306824,0.9241837859153748,0.19348935782909393,0.6554376482963562,0.8535040616989136,0.5142689943313599,0.919575035572052,0.20334281027317047,0.7176116108894348
17,0.8592386841773987,0.46244657039642334,0.9269983172416687,0.18824021518230438,0.6506869792938232,0.8547706007957458,0.4657483398914337,0.9238671660423279,0.19345897436141968,0.6592074036598206
